projection_season,franchise_id,team_name,player_id,player_name,position,nfl_team,normalized_adp,points_adp_proxy,expected_reg_points,expected_reg_ppg,action,projected_pool_ind,projected_salary_2026,projected_perceived_value,expected_points_per_1000_bid,points_model_group,points_model_samples,points_model_method
2026,0006,The Long Haulers,14104,"Brown, A.J.",WR,PHI,4.416666666666667,42.0,165.44,12.0,retain_existing,0,56000,0,,WR,312,inv_sqrt_adp_weighted_linear
2026,0001,L.A. Looks,14802,"Taylor, Jonathan",RB,IND,3.4166666666666665,30.0,165.04,11.778,expiring_to_pool,1,0,20561.33,8.027,RB,256,inv_sqrt_adp_weighted_linear
2026,0005,HammerTime 🔨 ⏰,16627,"McConkey, Ladd",WR,LAC,4.5,43.0,164.29,11.919,retain_existing,0,5000,0,,WR,312,inv_sqrt_adp_weighted_linear
2026,0002,CBP,17081,"Egbuka, Emeka",WR,TBB,4.583333333333333,44.0,163.18,11.842,retain_existing,0,5000,0,,WR,312,inv_sqrt_adp_weighted_linear
2026,0009,C-Town Chivalry,15715,"Cook, James",RB,BUF,3.6666666666666665,33.0,159.39,11.402,retain_existing,0,27000,0,,RB,256,inv_sqrt_adp_weighted_linear
2026,0009,C-Town Chivalry,14835,"Higgins, Tee",WR,CIN,4.916666666666667,48.0,159.09,11.555,retain_existing,0,24000,0,,WR,312,inv_sqrt_adp_weighted_linear
2026,0007,Sex Manther,15756,"Williams, Jameson",WR,DET,5.25,52.0,155.49,11.302,expiring_to_pool,1,0,16587.19,9.374,WR,312,inv_sqrt_adp_weighted_linear
2026,0011,Cleon Ca$h,17104,"Loveland, Colston",TE,CHI,6.75,70.0,153.46,11.08,retain_existing,0,5000,0,,TE,124,inv_sqrt_adp_weighted_linear
2026,0008,Real Deal Creel,16614,"Harrison Jr., Marvin",WR,ARI,5.583333333333333,56.0,152.27,11.077,retain_existing,0,14000,0,,WR,312,inv_sqrt_adp_weighted_linear
2026,0006,The Long Haulers,17102,"Warren, Tyler",TE,IND,6.916666666666667,72.0,151.83,10.959,retain_existing,0,5000,0,,TE,124,inv_sqrt_adp_weighted_linear
2026,0004,Pure Greatness,16618,"Thomas Jr., Brian",WR,JAC,5.666666666666667,57.0,151.52,11.024,retain_existing,0,5000,0,,WR,312,inv_sqrt_adp_weighted_linear
2026,0007,Sex Manther,16616,"Odunze, Rome",WR,CHI,5.833333333333333,59.0,150.08,10.923,retain_existing,0,10000,0,,WR,312,inv_sqrt_adp_weighted_linear
2026,0002,CBP,15282,"Smith, DeVonta",WR,PHI,5.916666666666667,60.0,149.39,10.874,manual_tag_keep,0,29000,0,,WR,312,inv_sqrt_adp_weighted_linear
2026,0010,Blake Bombers,17044,"Hampton, Omarion",RB,LAC,4.25,40.0,148.78,10.695,retain_existing,0,13000,0,,RB,256,inv_sqrt_adp_weighted_linear
2026,0007,Sex Manther,17103,"Fannin, Harold",TE,CLE,7.416666666666667,78.0,147.35,10.625,retain_existing,0,5000,0,,TE,124,inv_sqrt_adp_weighted_linear
2026,0011,Cleon Ca$h,16222,"Kraft, Tucker",TE,GBP,7.5,79.0,146.65,10.573,manual_extension_keep,0,3000,0,,TE,124,inv_sqrt_adp_weighted_linear
