projection_season,franchise_id,team_name,player_id,player_name,position,nfl_team,status_base,cap_status_factor,salary_base,contract_year_base,contract_status_base,contract_info_base,projected_contract_year,action,projected_salary_2026,tag_eligible_ind,tag_selected_ind,tag_side,tag_salary,rookie_extend_candidate_ind,rookie_extend_selected_ind,rookie_extend_salary,adp_source_season,average_pick,normalized_adp,points_adp_proxy,adp_normalization_source,projected_pool_ind,estimated_market_value,expected_reg_points,expected_reg_ppg,points_model_group,points_model_samples,points_model_method,next_salary_method
2026,0001,L.A. Looks,17031,"Sanders, Shedeur",QB,CLE,TAXI_SQUAD,0.0,2000,3,Rookie,CL 3| TCV 6K| AAV 2K,2,retain_existing,2000,0,0,OFFENSE,0,0,0,0,2026,199.0,17.5,199.0,sleeper_sf_slot,0,0.0,197.67,15.543,QB,114,inv_sqrt_adp_weighted_linear,
2026,0001,L.A. Looks,15287,"St. Brown, Amon-Ra",WR,DET,ROSTER,1.0,25000,1,Veteran,CL 2| TCV 50K| AAV 25K| Ext: UW,1,manual_tag_keep,51000,1,1,OFFENSE,51000,0,0,0,2026,14.0,2.0833333333333335,14.0,sleeper_sf_slot,0,0.0,237.37,17.045,WR,312,inv_sqrt_adp_weighted_linear,
2026,0001,L.A. Looks,9431,"Stafford, Matthew",QB,LAR,ROSTER,1.0,18000,1,Veteran,CL 1|,0,expiring_to_pool,0,1,0,OFFENSE,50000,0,0,0,2026,103.0,9.5,103.0,sleeper_sf_slot,1,12330.79,206.28,16.047,QB,114,inv_sqrt_adp_weighted_linear,
2026,0001,L.A. Looks,13630,"Sutton, Courtland",WR,DEN,ROSTER,1.0,15000,2,Veteran,"CL 2| TCV 30K| AAV 10K, 20K| Y1-15K, Y2-15K| Ext: UW",1,retain_existing,15000,0,0,OFFENSE,0,0,0,0,2026,91.0,8.5,91.0,sleeper_sf_slot,0,0.0,133.93,9.79,WR,312,inv_sqrt_adp_weighted_linear,remaining_year_index
2026,0001,L.A. Looks,14802,"Taylor, Jonathan",RB,IND,ROSTER,1.0,38000,1,Tag,CL 1| TCV 38K| AAV 38K| No Further Extensions,0,expiring_to_pool,0,0,0,OFFENSE,52000,0,0,0,2026,30.0,3.4166666666666665,30.0,sleeper_sf_slot,1,20561.33,165.04,11.778,RB,256,inv_sqrt_adp_weighted_linear,
2026,0001,L.A. Looks,16650,"Turner, Dallas",DE,MIN,TAXI_SQUAD,0.0,1000,2,Rookie,CL 3| TCV 3K| AAV 1K,1,retain_existing,1000,0,0,IDP_K,0,0,0,0,2026,,400.0,400.0,fallback_missing_adp,0,0.0,98.55,7.344,IDP,172,inv_sqrt_adp_weighted_linear,
2026,0001,L.A. Looks,13214,"Watt, T.J.",DE,PIT,ROSTER,1.0,9000,1,BL,CL 3| TCV 24K| AAV 8K| Y1-5  Y2-10 Y3-9,0,expiring_to_pool,0,0,0,IDP_K,0,0,0,0,2026,,400.0,400.0,fallback_missing_adp,1,2317.92,98.55,7.344,IDP,172,inv_sqrt_adp_weighted_linear,fallback_second_year
2026,0001,L.A. Looks,12610,"Wentz, Carson",QB,MIN,INJURED_RESERVE,0.5,1000,2,Veteran,CL 2| TCV 2K| AAV 1K,1,retain_existing,1000,0,0,OFFENSE,0,0,0,0,2026,,400.0,400.0,fallback_missing_adp,0,0.0,191.17,15.162,QB,114,inv_sqrt_adp_weighted_linear,
2026,0001,L.A. Looks,16630,"Williams, Isaiah",WR,NYJ,ROSTER,1.0,1000,2,Veteran,"CL 2| TCV 2K| AAV 1K| Y1-1K, Y2-1K| GTD: 1K",1,retain_existing,1000,0,0,OFFENSE,0,0,0,0,2026,,400.0,400.0,fallback_missing_adp,0,0.0,99.02,7.342,WR,312,inv_sqrt_adp_weighted_linear,remaining_year_index
2026,0001,L.A. Looks,16276,"Young, Byron",DE,LAR,ROSTER,1.0,1000,1,WW,CL 1|,0,expiring_to_pool,0,0,0,IDP_K,0,0,0,0,2026,,400.0,400.0,fallback_missing_adp,1,2317.92,98.55,7.344,IDP,172,inv_sqrt_adp_weighted_linear,
