season,franchise_id,team_name,era,player_id,player_name,position,nfl_team,weeks_started,playoff_weeks_started,total_pts_started,playoff_pts_started,ppg_started,avg_salary,min_contract_year,max_contract_year,contract_status_last
2021,0011,Cleon Ca$h,1QB,14921,"Dugger, Kyle",S,NEP,12,2,113.6,16.1,9.47,2000,2,2,Rookie
2021,0011,Cleon Ca$h,1QB,11680,"Landry, Jarvis",WR,CLE,9,1,102.8,9.3,11.42,11000,1,1,FL
2021,0011,Cleon Ca$h,1QB,15366,"Holland, Jevon",S,MIA,12,2,100.3,21.4,8.36,2000,3,3,Rookie
2021,0011,Cleon Ca$h,1QB,12745,"Jones, Deion",LB,ATL,11,0,99.5,0.0,9.05,4000,1,1,Veteran
2021,0011,Cleon Ca$h,1QB,14803,"Edwards-Helaire, Clyde",RB,KCC,6,1,90.8,10.3,15.13,15000,2,2,Rookie
2021,0011,Cleon Ca$h,1QB,13706,"Baker, Jerome",LB,MIA,12,2,86.0,24.5,7.17,4000,2,2,Veteran
2021,0011,Cleon Ca$h,1QB,11679,"Beckham, Odell",WR,LAR,6,2,71.6,30.6,11.93,58000,1,1,Veteran
2021,0011,Cleon Ca$h,1QB,14896,"Queen, Patrick",LB,BAL,12,2,65.5,10.5,5.46,2000,2,2,Rookie
2021,0011,Cleon Ca$h,1QB,13772,"Schultz, Dalton",TE,DAL,5,2,62.1,35.2,12.42,1000,2,2,Veteran
2021,0011,Cleon Ca$h,1QB,12930,"Anderson, Robby",WR,CAR,8,1,59.4,11.4,7.42,27000,1,1,Veteran
2021,0011,Cleon Ca$h,1QB,14163,"Simmons, Jeffery",DT,TEN,8,2,57.5,4.5,7.19,3000,1,1,Veteran
2021,0011,Cleon Ca$h,1QB,14412,"Singleton, Alex",LB,PHI,8,2,57.0,29.0,7.13,4000,1,1,WW
2021,0011,Cleon Ca$h,1QB,12691,"Ogbah, Emmanuel",DE,MIA,7,2,56.5,19.0,8.07,1000,1,1,Veteran
