year,player_id,nominator_fid,winner_fid,winning_bid_dollars,first_bid_at_utc,won_at_utc,duration_hrs_raw,duration_hrs_capped48,total_bids,forced_increases,overtakes,by_commish
2022,11316,0007,0007,2000,2022-08-04 10:19:40,2022-08-05 10:24:37,24.08,24.08,2,1,0,0
2022,11644,0002,0001,38000,2022-07-30 16:15:55,2022-07-31 17:25:53,25.17,25.17,9,7,1,0
2022,11671,0003,0010,38000,2022-07-30 16:28:01,2022-08-03 11:56:53,91.48,48.0,11,5,5,0
2022,11678,0001,0009,21000,2022-07-30 17:41:31,2022-08-01 12:31:39,42.84,42.84,12,8,3,0
2022,11679,0002,0002,5000,2022-08-01 12:11:18,2022-08-02 12:11:21,24.0,24.0,4,3,0,0
2022,11680,0002,0002,4000,2022-07-31 04:21:43,2022-08-01 04:23:41,24.03,24.03,3,2,0,0
2022,11728,0003,0003,2000,2022-08-04 12:02:58,2022-08-05 12:14:39,24.19,24.19,2,1,0,0
2022,11757,0001,0004,8000,2022-07-30 17:31:45,2022-08-01 11:12:09,41.67,41.67,7,2,4,0
2022,11760,0008,0008,5000,2022-08-02 04:02:28,2022-08-03 04:04:59,24.04,24.04,3,2,0,0
2022,11886,0001,0001,2000,2022-08-03 03:07:43,2022-08-04 03:08:47,24.02,24.02,2,1,0,0
2022,12110,0012,0001,2000,2022-08-04 13:07:50,2022-08-05 16:29:24,27.36,27.36,2,0,1,0
2022,12140,0008,0002,12000,2022-07-30 17:26:31,2022-07-31 17:40:58,24.24,24.24,5,3,1,0
2022,12141,0003,0004,15000,2022-08-01 04:41:48,2022-08-02 16:06:10,35.41,35.41,9,3,5,0
2022,12176,0010,0012,5000,2022-07-30 16:06:45,2022-08-01 05:40:37,37.56,37.56,4,0,3,0
2022,12184,0006,0006,3000,2022-08-05 04:15:29,2022-08-06 04:15:56,24.01,24.01,3,2,0,0
2022,12238,0003,0006,3000,2022-08-03 13:23:57,2022-08-04 13:39:26,24.26,24.26,2,0,1,0
2022,12239,0005,0005,2000,2022-08-03 06:42:48,2022-08-04 06:59:23,24.28,24.28,2,1,0,0
2022,12447,0011,0005,11000,2022-07-31 05:38:07,2022-08-02 07:37:19,49.99,48.0,9,3,5,0
2022,12610,0012,0011,17000,2022-07-30 18:21:27,2022-08-01 22:14:20,51.88,48.0,10,3,6,0
